6      4214  1935  165.66.118.106    51.40.132.69	13258.268
6     58138  1094    51.40.150.96  116.130.236.69	13016.28
6     49812  1094   51.40.150.109  116.130.236.94	12775.613
50        0     0     127.174.7.0  69.206.210.155	12419.2
6     57958 24377   119.17.29.123  124.221.63.149	11936.731
6     60554    22  116.189.251.19  116.45.206.147	11879.653
6      1095 53320  107.240.111.62    118.80.32.14	11879.083
6     33128 49776ea85:81..00:e52fd5ff:b5..4d:2af4	11870.35
6     10454   443  51.171.181.180  219.170.10.141	11869.817
6     35560  1094   51.40.150.119  116.130.236.82	11033.527
6     37873 52210  107.180.248.51   92.197.40.169	10437.653
6     14753 56298   104.59.146.77     49.200.3.99	10137.709
6     55120  1094   51.40.150.109  116.130.236.93	9773.546
6     35141   443   51.239.159.51   210.53.180.98	9656.998
6     59352  1094    119.17.68.36 116.130.236.116	9468.658
6      1095 43768   51.51.156.131  117.113.221.85	9296.436
17    50235 53902   75.30.187.203   51.239.159.53	9290.072
6     10513   443  51.171.227.251  232.136.63.104	9179.614
6      1095 51224df01:eb..ff:ffecdffe:6c..f6:e31d	9079.836
6     24782 52232   119.94.253.65   51.141.180.57	8939.841
17        0     0   104.83.199.85   180.55.137.65	8877.619
6     33120 35478ea85:81..:0:e415d5ff:b5..32:e4e5	8873.186
6     55302    22   95.253.72.149 102.127.219.100	8636.454
6     20658 32222  119.94.253.181   50.108.42.251	8579.846
6     14474   443  51.171.254.183  219.170.10.184	8458.23
6     24496 58459  120.74.196.116 118.184.206.246	8279.855
6     33119 48714    57.136.32.14  51.141.180.251	8264.304
6     55195   443  51.171.162.148  232.136.63.105	8099.379
6      1095 51836   51.51.156.131   51.141.180.71	8039.631
6      1094 46052 116.130.236.119   51.142.79.217	7977.612
6     33994  1095     66.186.6.99  107.240.111.45	7559.065
6      1095 33994  107.240.111.45     66.186.6.99	7558.531
6     27728 51413    51.160.190.2   75.238.34.123	7498.433
6     17670 21057 107.171.123.159   51.244.76.115	7439.964
6      1094 50436  116.130.236.84  113.111.85.214	7439.19
17    33001 45461    51.57.62.128      54.231.3.6	7319.876
6     23570 48482  124.221.63.225 117.151.112.234	7298.665
6     61028 26914   50.108.42.251  119.94.169.105	7258.775
6      1095 47984  107.240.111.45   66.187.68.187	7199.929
6     29947 30500   50.108.42.251   119.94.169.60	7196.835
6     31543 42658  119.94.253.181   113.111.87.18	7079.781
6     19159 54974  119.94.170.124   113.111.87.47	6957.476
6     37507 15909   50.108.42.251  119.94.253.179	6838.872
6      1094 36714df81:38..30:ff78d5ff:b5..bd:15d4	6838.299
6     54622 23087   50.108.42.251  119.94.170.249	6719.221
6      1095 55842  107.240.111.20  51.141.180.251	6707.016
6      1935 56464   82.186.123.87  48.252.125.208	6658.811
6      1095 58178   117.22.157.67    50.101.25.25	6648.08
6     20342 53900   51.60.214.123   50.33.139.166	6632.789
6     23585 46276  119.94.169.147   51.141.180.57	6627.859
6     64145 50018   119.144.1.239  117.25.220.201	6599.578
6      1095 38172  107.240.111.45    66.186.9.239	6599.518
6     20323 37396    51.60.214.68   50.33.139.185	6531.141
6      3478 50018 224.237.183.176  191.42.111.192	6478.87
6     57804 31099   50.108.42.251  119.94.171.149	6474.211
6      1095 43144   66.186.30.194    118.80.32.14	6417.366
6       443 63879  201.219.112.72   51.144.25.147	6416.09
6      1094 41902d920:1e..0f:6733dffe:6c..08:2d6f	6415.668
6     50862 23518   58.143.160.74  51.109.151.222	6355.111
6     55592  1094   165.98.47.103  116.130.236.84	6313.544
6     20784 44926   119.94.171.60   50.108.42.251	6299.914
6     44926 20784   50.108.42.251   119.94.171.60	6299.877
6     29354 25589   119.94.169.78   50.108.42.251	6239.749
6     20341 44916    51.60.214.75   50.33.139.162	6223.306
6     28253 34480   50.108.42.251  119.94.169.110	6179.444
6       182 49772    69.81.191.52   97.214.200.17	6172.755
